%time,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.position17
1.49743294584067E+018,69.6504364014,-21.1904640198,-60.9389877319,50,56.0869216919,28.9613227844,58.0976333618,64.3050003052,26.682352066,61.2685775757,67.9778213501,33.5234375,19.8146514893,54.6715431213,28.8837413788,4.350001812,15.8372077942,8.4939804077
1.49743294588265E+018,69.6504364014,-20.6311950684,-60.9389877319,50,56.0869216919,28.0986785889,58.0976333618,65.1214294434,20.7058811188,61.2685775757,69.6403579712,32.7296905518,19.8146514893,54.6715431213,29.296749115,4.350001812,15.8372077942,8.4939804077
1.49743294588266E+018,69.6504364014,-20.0719299316,-63.2249908447,50,57.8976173401,28.0986785889,58.0976333618,65.9378585815,20.7058811188,61.2685775757,69.6403579712,32.7296905518,19.8146514893,54.6715431213,29.296749115,4.350001812,15.8372077942,8.4939804077
1.49743294588267E+018,69.6504364014,-20.0719299316,-63.2249908447,50,56.9922714233,28.0986785889,58.0976333618,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,19.8146514893,54.6715431213,29.7097549438,4.350001812,15.8372077942,8.4939804077
1.49743294588268E+018,69.6504364014,-19.5126609802,-63.2249908447,50,56.9922714233,28.0986785889,58.0976333618,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,19.8146514893,54.6715431213,29.7097549438,5.8014278412,15.8372077942,8.4939804077
1.49743294588411E+018,69.6504364014,-18.9533958435,-63.2249908447,50,56.9922714233,28.0986785889,58.0976333618,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,19.8146514893,54.6715431213,29.7097549438,5.8014278412,15.8372077942,8.4939804077
1.49743294589324E+018,69.6504364014,-18.9533958435,-63.2249908447,50,56.9922714233,28.0986785889,60.7870521545,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,19.8146514893,54.6715431213,29.7097549438,6.3457121849,15.8372077942,8.4939804077
1.49743294593364E+018,69.6504364014,-18.3941268921,-63.2249908447,50,56.9922714233,28.0986785889,60.7870521545,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,19.8146514893,54.6715431213,30.535774231,6.3457121849,15.8372077942,8.4939804077
1.49743294593365E+018,69.6504364014,-18.3941268921,-63.2249908447,50,56.9922714233,28.0986785889,60.7870521545,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,18.7513942719,54.6715431213,30.535774231,7.0714278221,15.8372077942,8.4939804077
1.49743294593366E+018,69.6504364014,-17.8348693848,-63.2249908447,50,56.9922714233,26.3733997345,60.7870521545,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,18.7513942719,54.6715431213,30.535774231,7.0714278221,15.8372077942,8.4939804077
1.49743294593367E+018,69.6504364014,-17.8348693848,-63.2249908447,50,56.9922714233,26.3733997345,60.7870521545,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,18.7513942719,54.6715431213,30.535774231,7.0714278221,15.8372077942,8.4939804077
